package,URI,label,isVisible,comment,unitCost,performanceImpact
package#ProcessComms,domain#DisableServiceChannel,DisableServiceChannel,TRUE,"Signifies that a service channel (i.e. a tunnel through firewall controls) which is assumed to be in place for expected client-service connections is disabled. This is not a contingency plan but a restriction introduced by design, or as a run-time threat response.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#ProcessComms,domain#SuspendExcessiveClientAccess,SuspendExcessiveClientAccess,TRUE,"Change from: Signifies that access to a service in a specific client role may be temporarily disabled if the client is compromised, i.e. the policy allowing access to a service in that client role may be dynamically switched on or off. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack. This control governs access rights for a specific client to a specific service, and so applies to the inferred Client-Service Relationship asset representing their mutual trust.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#ProcessComms,domain#SuspendInsecureServiceChannel,SuspendInsecureServiceChannel,TRUE,"Applies to an inferred Service Channel asset representing the privileged path from client to service. Signifies that the service channel may be temporarily disabled, i.e. policy exceptions allowing client-service messages to pass through default firewall rules are switched off. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#ProcessComms,domain#SuspendUnauthenticClientAccess,SuspendUnauthenticClientAccess,TRUE,"Signifies that access to a service in a specific client role may be temporarily disabled if their means of authentication is compromised, i.e. the policy allowing access to a service in that client role may be dynamically switched on or off. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack. This control governs access rights for a specific client to a specific service, and so applies to the inferred Client-Service Relationship asset representing their mutual trust.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#ProcessComms,domain#SuspendUntrustworthyClientAccess,SuspendUntrustworthyClientAccess,TRUE,"Signifies that access to a service in a specific client role may be temporarily disabled if the client is compromised, i.e. the policy allowing access to a service in that client role may be dynamically switched on or off. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack. This control governs access rights for a specific client to a specific service, and so applies to the inferred Client-Service Relationship asset representing their mutual trust.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#ProcessComms,domain#SuspendVulnerableServiceChannel,SuspendVulnerableServiceChannel,TRUE,"Applies to an inferred Service Channel asset representing the privileged path from client to service. Signifies that the service channel may be temporarily disabled, i.e. policy exceptions allowing client-service messages to pass through default firewall rules are switched off. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Users,domain#BiometricID,BiometricID,TRUE,The human has a registered their biometric information for identification purposes.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Users,domain#ChipAndPINCard,ChipAndPINCard,TRUE,The human has a registered chip and pin card for identification purposes.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Users,domain#ManualActionTaken,ManualActionTaken,TRUE,Represents a state after manual intervention by a human to address a problem. Used in control strategies for predicting the effects of such intervention prior to alerting the human. Should be deselected once this has been determined.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Users,domain#ManualIntervention,ManualIntervention,TRUE,"A human has skills or expertise to prevent a threat, either by intervening in response to the threat, or by implementing a policy or preference that means the threat cannot occur.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Users,domain#PhysicalID,PhysicalID,TRUE,The human has obtained documentation to prove their identity from a trusted source (e.g. an employer or a national authority).,domain#CostMedium,domain#PerformanceImpactVeryLow
package#Users,domain#Screened,Screened,TRUE,The human role is staffed by individuals who have undergone a screening process to ensure they are more trustworthy than the population or community to which they belong.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Users,domain#Screening,Screening,TRUE,The legal entity has a process for screening employees before assigning them to specific roles.,domain#CostMedium,domain#PerformanceImpactVeryLow
package#Users,domain#TeamLeadership,TeamLeadership,TRUE,"The organisation has team leadership capabilities, allowing management of teams of employees that fulfil system roles.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Users,domain#TeamRole,TeamRole,TRUE,"The role fulfiled by a Human can be hancled by multiple individuals in a team, so if one Human is unable to carry out that role, it can be fulfilled by someone else.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
